country,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998
Australia,76.6,77.0,77.4,77.6,77.9,78.1,78.3,78.5,78.8,79.1
Austria,75.2,75.5,75.7,75.9,76.1,76.4,76.7,77.0,77.3,77.5
Belgium,75.7,76.0,76.1,76.4,76.4,76.7,76.9,77.1,77.3,77.5
Canada,77.2,77.4,77.6,77.8,77.8,77.9,78.0,78.3,78.5,78.7
Denmark,75.1,75.2,75.3,75.4,75.4,75.5,75.6,75.9,76.2,76.5
France,76.9,77.2,77.3,77.6,77.7,77.9,78.1,78.3,78.6,78.7
Italy,76.8,77.0,77.1,77.4,77.6,77.8,78.1,78.3,78.6,78.9
Netherlands,76.9,77.0,77.1,77.2,77.2,77.4,77.5,77.6,77.8,77.9
Norway,76.7,76.8,77.1,77.3,77.4,77.7,77.9,78.2,78.3,78.4
United States,75.2,75.4,75.5,75.7,75.7,75.8,75.9,76.2,76.6,76.7
