country,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
Afghanistan,1290000,1310000,1320000,1320000,1330000,1360000,1390000,1420000,1460000,1500000,1540000,1600000,1650000,1690000,1720000,1770000,1830000,1880000,1930000,1980000,2040000,2120000,2190000,2250000,2310000,2360000,2430000,2490000,2530000,2540000,2520000,2510000,2470000,2410000,2350000,2320000,2280000,2230000,2210000,2250000,2410000,2580000,2810000,3080000,3340000,3520000,3700000,3840000,3940000,4030000,4170000,4320000,4490000,4650000,4790000,4900000,5020000,5110000,5180000,5240000,5320000,5370000,5410000,5440000,5480000,5500000,5530000,5560000,5600000,5640000,5670000,5720000,5760000,5780000,5800000,5810000,5840000,5860000,5870000,5880000,5890000,5910000,5910000,5920000,5920000,5920000,5920000,5920000,5910000,5900000,5880000,5880000,5860000,5840000,5820000,5790000,5770000,5740000,5710000,5670000,5640000,5610000,5580000,5540000,5510000,5480000,5450000,5420000,5380000,5340000,5300000,5260000,5230000,5190000,5140000,5100000,5060000,5020000,4980000,4940000,4890000,4860000,4820000,4780000,4730000,4690000,4660000,4620000,4580000,4540000,4500000,4470000,4430000,4390000,4350000,4320000,4280000,4250000,4210000,4180000,4140000,4110000,4070000,4040000,4000000,3970000,3940000,3900000,3870000,3840000,3800000
Albania,181000,187000,194000,202000,212000,223000,235000,246000,255000,264000,273000,283000,292000,299000,305000,310000,314000,314000,313000,312000,312000,311000,313000,317000,322000,325000,330000,333000,334000,334000,336000,338000,341000,345000,350000,357000,366000,376000,387000,393000,390000,391000,382000,366000,349000,336000,321000,309000,300000,290000,280000,268000,256000,244000,231000,219000,208000,197000,187000,179000,174000,171000,170000,170000,171000,171000,177000,177000,173000,169000,166000,162000,159000,158000,156000,154000,151000,146000,142000,137000,132000,128000,124000,120000,117000,114000,112000,109000,107000,105000,104000,103000,102000,101000,99900,99000,98500,97700,96800,95700,94600,93600,92300,90800,89300,87600,86000,84200,82300,80400,78500,76800,75000,73300,71500,69900,68600,67200,65800,64400,63100,62300,61300,60300,59200,58200,57600,56800,55900,54900,53900,53200,52400,51400,50300,49200,48300,47200,46100,44800,43600,42500,41400,40200,39000,37800,36900,35800,34700,33500,32500
Algeria,1400000,1480000,1580000,1670000,1750000,1820000,1930000,1980000,2010000,2030000,2070000,2100000,2160000,2230000,2310000,2380000,2470000,2530000,2580000,2620000,2680000,2750000,2820000,2900000,2980000,3070000,3180000,3260000,3340000,3420000,3510000,3610000,3690000,3760000,3820000,3870000,3920000,3960000,3970000,3980000,3970000,3950000,3930000,3890000,3820000,3730000,3630000,3500000,3350000,3200000,3080000,2950000,2880000,2860000,2890000,2960000,3080000,3250000,3450000,3650000,3850000,4120000,4300000,4430000,4530000,4650000,4740000,4840000,4950000,5020000,5040000,5030000,4950000,4830000,4700000,4570000,4410000,4300000,4240000,4200000,4140000,4120000,4080000,4030000,4000000,3980000,3990000,4020000,4050000,4090000,4130000,4200000,4260000,4310000,4360000,4400000,4450000,4480000,4510000,4520000,4530000,4520000,4510000,4490000,4460000,4430000,4380000,4330000,4290000,4240000,4190000,4140000,4100000,4060000,4030000,4000000,3980000,3960000,3940000,3930000,3920000,3920000,3930000,3930000,3940000,3940000,3960000,3960000,3970000,3970000,3970000,3970000,3960000,3950000,3940000,3920000,3900000,3870000,3850000,3820000,3790000,3760000,3740000,3710000,3680000,3650000,3630000,3600000,3580000,3560000,3550000
Angola,739000,764000,790000,817000,843000,873000,913000,942000,963000,980000,995000,989000,995000,1010000,1010000,1010000,1020000,1020000,1000000,1000000,1030000,1050000,1100000,1190000,1280000,1360000,1460000,1510000,1530000,1560000,1600000,1640000,1700000,1770000,1850000,1930000,2020000,2100000,2170000,2240000,2310000,2400000,2470000,2530000,2600000,2670000,2750000,2830000,2900000,2990000,3080000,3190000,3300000,3420000,3540000,3680000,3840000,4000000,4160000,4310000,4470000,4650000,4800000,4940000,5070000,5190000,5320000,5440000,5550000,5670000,5800000,5920000,6060000,6210000,6370000,6520000,6700000,6870000,7030000,7190000,7360000,7540000,7720000,7900000,8070000,8240000,8420000,8590000,8760000,8930000,9090000,9270000,9440000,9610000,9790000,9950000,10100000,10300000,10500000,10600000,10800000,10900000,11100000,11300000,11400000,11600000,11700000,11900000,12100000,12200000,12400000,12600000,12700000,12900000,13000000,13200000,13400000,13500000,13700000,13800000,13900000,14100000,14200000,14400000,14500000,14700000,14800000,14900000,15100000,15200000,15300000,15400000,15500000,15600000,15700000,15800000,16000000,16100000,16200000,16300000,16400000,16500000,16600000,16700000,16800000,16900000,17000000,17100000,17100000,17200000,17200000
Antigua and Barbuda,7090,7270,7410,7520,7620,7710,7850,7980,8110,8240,8350,8520,8640,8720,8820,8940,9170,9370,9540,9620,9570,9480,9340,9130,8910,8710,8510,8340,8190,8060,7930,7770,7620,7480,7350,7220,7030,6850,6690,6580,6560,6580,6620,6690,6800,6910,6980,7070,7170,7250,7290,7210,7170,7160,7150,7130,7120,7100,7050,7000,6980,7150,7230,7240,7230,7240,7360,7400,7400,7380,7360,7290,7240,7190,7140,7080,7000,6950,6900,6860,6810,6770,6720,6660,6600,6550,6510,6480,6460,6440,6420,6420,6410,6390,6370,6350,6340,6320,6310,6290,6270,6250,6210,6180,6130,6090,6050,6010,5970,5930,5890,5850,5810,5780,5750,5710,5690,5660,5630,5610,5580,5560,5540,5510,5490,5470,5450,5430,5410,5390,5360,5350,5320,5290,5260,5230,5200,5180,5150,5120,5090,5060,5040,5010,4990,4960,4940,4920,4900,4870,4850
Argentina,1990000,2040000,2070000,2090000,2120000,2140000,2160000,2180000,2200000,2230000,2240000,2270000,2290000,2300000,2320000,2340000,2360000,2380000,2400000,2430000,2470000,2520000,2580000,2650000,2720000,2810000,2910000,3020000,3120000,3210000,3280000,3350000,3360000,3330000,3300000,3290000,3250000,3270000,3340000,3410000,3460000,3530000,3570000,3580000,3580000,3580000,3570000,3560000,3540000,3520000,3510000,3490000,3490000,3510000,3540000,3560000,3590000,3600000,3600000,3600000,3610000,3610000,3640000,3670000,3690000,3710000,3740000,3750000,3750000,3740000,3740000,3730000,3720000,3710000,3710000,3700000,3690000,3690000,3680000,3670000,3660000,3660000,3650000,3640000,3620000,3610000,3600000,3590000,3580000,3570000,3560000,3550000,3540000,3530000,3520000,3500000,3490000,3480000,3470000,3460000,3450000,3440000,3430000,3420000,3400000,3390000,3370000,3360000,3340000,3330000,3310000,3300000,3280000,3270000,3260000,3240000,3230000,3210000,3200000,3180000,3170000,3150000,3140000,3130000,3120000,3100000,3090000,3080000,3060000,3050000,3030000,3020000,3010000,2990000,2980000,2970000,2960000,2940000,2930000,2920000,2900000,2890000,2870000,2860000,2840000,2830000,2810000,2800000,2790000,2770000,2760000
Armenia,150000,175000,189000,202000,217000,235000,253000,272000,292000,309000,323000,336000,345000,349000,350000,346000,338000,326000,313000,300000,292000,279000,279000,286000,295000,302000,313000,319000,321000,322000,327000,333000,341000,352000,362000,371000,384000,393000,397000,395000,386000,376000,358000,336000,312000,290000,264000,241000,223000,208000,197000,185000,181000,182000,184000,187000,194000,197000,198000,198000,201000,206000,209000,212000,214000,215000,214000,213000,211000,208000,205000,200000,195000,190000,185000,180000,175000,170000,166000,162000,158000,156000,154000,152000,150000,149000,150000,150000,151000,151000,152000,154000,155000,155000,156000,156000,156000,156000,155000,154000,152000,150000,148000,146000,143000,141000,139000,136000,134000,132000,129000,128000,126000,125000,123000,122000,122000,121000,121000,121000,120000,121000,121000,120000,120000,120000,120000,119000,119000,118000,117000,116000,115000,114000,113000,111000,110000,108000,107000,105000,104000,103000,101000,100000,99000,97900,97200,96400,95600,94800,94100
Australia,889000,925000,942000,955000,971000,989000,991000,1010000,1040000,1070000,1090000,1120000,1130000,1140000,1140000,1160000,1170000,1190000,1210000,1230000,1240000,1250000,1260000,1270000,1280000,1270000,1270000,1240000,1200000,1150000,1130000,1090000,1100000,1130000,1170000,1190000,1240000,1260000,1260000,1250000,1260000,1250000,1260000,1280000,1290000,1300000,1310000,1310000,1300000,1290000,1280000,1260000,1250000,1240000,1250000,1270000,1290000,1330000,1380000,1420000,1460000,1510000,1530000,1540000,1550000,1560000,1570000,1600000,1630000,1650000,1670000,1690000,1690000,1670000,1660000,1650000,1630000,1630000,1630000,1630000,1630000,1640000,1640000,1640000,1640000,1640000,1650000,1660000,1670000,1680000,1690000,1700000,1720000,1730000,1750000,1760000,1780000,1800000,1810000,1820000,1830000,1840000,1850000,1860000,1870000,1880000,1880000,1890000,1890000,1890000,1890000,1900000,1900000,1900000,1900000,1910000,1910000,1920000,1920000,1930000,1930000,1940000,1950000,1960000,1970000,1980000,1990000,2000000,2010000,2020000,2030000,2040000,2050000,2060000,2070000,2080000,2090000,2100000,2100000,2110000,2110000,2120000,2120000,2130000,2130000,2140000,2150000,2150000,2160000,2160000,2160000
Austria,516000,493000,480000,476000,480000,491000,503000,521000,541000,561000,581000,610000,627000,637000,642000,647000,647000,646000,642000,635000,623000,604000,581000,557000,532000,509000,481000,461000,447000,437000,430000,430000,432000,436000,440000,442000,450000,447000,437000,429000,429000,426000,436000,453000,467000,472000,475000,466000,448000,429000,416000,399000,393000,395000,398000,398000,400000,399000,395000,392000,391000,391000,392000,396000,401000,407000,415000,424000,434000,442000,448000,454000,457000,456000,454000,452000,448000,445000,444000,442000,439000,435000,431000,427000,423000,419000,415000,412000,409000,406000,404000,402000,401000,401000,401000,401000,403000,404000,406000,407000,409000,411000,413000,415000,417000,418000,419000,420000,421000,421000,421000,420000,419000,418000,416000,414000,412000,410000,409000,407000,405000,403000,402000,401000,401000,400000,400000,400000,400000,401000,401000,402000,403000,404000,405000,405000,406000,407000,408000,409000,409000,409000,410000,410000,410000,409000,408000,408000,407000,407000,406000
Azerbaijan,342000,391000,429000,465000,499000,535000,575000,609000,638000,668000,700000,728000,762000,797000,824000,840000,856000,849000,827000,801000,779000,747000,728000,718000,712000,705000,702000,697000,693000,692000,697000,712000,729000,750000,773000,800000,835000,869000,898000,922000,939000,957000,958000,944000,921000,894000,855000,816000,778000,743000,713000,674000,653000,645000,643000,643000,657000,665000,671000,682000,702000,734000,771000,810000,842000,864000,889000,890000,872000,848000,825000,785000,758000,739000,724000,705000,685000,669000,655000,645000,637000,638000,638000,638000,639000,640000,647000,651000,653000,653000,652000,650000,647000,642000,637000,630000,621000,614000,606000,599000,592000,584000,577000,571000,565000,559000,555000,550000,546000,542000,538000,536000,533000,531000,528000,526000,524000,522000,520000,518000,515000,513000,511000,508000,505000,502000,498000,495000,491000,487000,483000,479000,476000,472000,469000,466000,463000,460000,457000,454000,452000,449000,447000,445000,442000,440000,438000,436000,435000,433000,431000
